year,month,period,naics,kind_of_business,measure,adjustment,value,preliminary
2014,10,2014-10,4522,Department stores,inv_sales_ratio,nsa,3.43,False
2014,11,2014-11,4522,Department stores,inv_sales_ratio,nsa,2.66,False
2014,12,2014-12,4522,Department stores,inv_sales_ratio,nsa,1.47,False
2015,1,2015-01,4522,Department stores,inv_sales_ratio,nsa,3.31,False
2015,2,2015-02,4522,Department stores,inv_sales_ratio,nsa,3.25,False
2015,3,2015-03,4522,Department stores,inv_sales_ratio,nsa,2.82,False
2015,4,2015-04,4522,Department stores,inv_sales_ratio,nsa,3.11,False
2015,5,2015-05,4522,Department stores,inv_sales_ratio,nsa,2.76,False
2015,6,2015-06,4522,Department stores,inv_sales_ratio,nsa,2.97,False
2015,7,2015-07,4522,Department stores,inv_sales_ratio,nsa,2.99,False
2015,8,2015-08,4522,Department stores,inv_sales_ratio,nsa,2.82,False
2015,9,2015-09,4522,Department stores,inv_sales_ratio,nsa,3.67,False
2015,10,2015-10,4522,Department stores,inv_sales_ratio,nsa,3.82,False
2015,11,2015-11,4522,Department stores,inv_sales_ratio,nsa,2.96,False
2015,12,2015-12,4522,Department stores,inv_sales_ratio,nsa,1.65,False
2016,1,2016-01,4522,Department stores,inv_sales_ratio,nsa,3.76,False
2016,2,2016-02,4522,Department stores,inv_sales_ratio,nsa,3.49,False
2016,3,2016-03,4522,Department stores,inv_sales_ratio,nsa,3.12,False
2016,4,2016-04,4522,Department stores,inv_sales_ratio,nsa,3.37,False
2016,5,2016-05,4522,Department stores,inv_sales_ratio,nsa,3.12,False
2016,6,2016-06,4522,Department stores,inv_sales_ratio,nsa,3.03,False
2016,7,2016-07,4522,Department stores,inv_sales_ratio,nsa,3.19,False
2016,8,2016-08,4522,Department stores,inv_sales_ratio,nsa,2.97,False
2016,9,2016-09,4522,Department stores,inv_sales_ratio,nsa,3.72,False
2016,10,2016-10,4522,Department stores,inv_sales_ratio,nsa,4.0,False
2016,11,2016-11,4522,Department stores,inv_sales_ratio,nsa,3.15,False
2016,12,2016-12,4522,Department stores,inv_sales_ratio,nsa,1.73,False
2017,1,2017-01,4522,Department stores,inv_sales_ratio,nsa,4.0,False
2017,2,2017-02,4522,Department stores,inv_sales_ratio,nsa,3.79,False
2017,3,2017-03,4522,Department stores,inv_sales_ratio,nsa,3.33,False
2017,4,2017-04,4522,Department stores,inv_sales_ratio,nsa,3.41,False
2017,5,2017-05,4522,Department stores,inv_sales_ratio,nsa,3.17,False
2017,6,2017-06,4522,Department stores,inv_sales_ratio,nsa,3.15,False
2017,7,2017-07,4522,Department stores,inv_sales_ratio,nsa,3.22,False
2017,8,2017-08,4522,Department stores,inv_sales_ratio,nsa,3.01,False
2017,9,2017-09,4522,Department stores,inv_sales_ratio,nsa,3.75,False
2017,10,2017-10,4522,Department stores,inv_sales_ratio,nsa,4.09,False
2017,11,2017-11,4522,Department stores,inv_sales_ratio,nsa,2.96,False
2017,12,2017-12,4522,Department stores,inv_sales_ratio,nsa,1.68,False
2018,1,2018-01,4522,Department stores,inv_sales_ratio,nsa,3.84,False
2018,2,2018-02,4522,Department stores,inv_sales_ratio,nsa,3.68,False
2018,3,2018-03,4522,Department stores,inv_sales_ratio,nsa,3.09,False
2018,4,2018-04,4522,Department stores,inv_sales_ratio,nsa,3.37,False
2018,5,2018-05,4522,Department stores,inv_sales_ratio,nsa,2.79,False
2018,6,2018-06,4522,Department stores,inv_sales_ratio,nsa,3.1,False
2018,7,2018-07,4522,Department stores,inv_sales_ratio,nsa,3.23,False
2018,8,2018-08,4522,Department stores,inv_sales_ratio,nsa,2.89,False
2018,9,2018-09,4522,Department stores,inv_sales_ratio,nsa,3.78,False
2018,10,2018-10,4522,Department stores,inv_sales_ratio,nsa,3.97,False
2018,11,2018-11,4522,Department stores,inv_sales_ratio,nsa,2.4,False
2018,12,2018-12,4522,Department stores,inv_sales_ratio,nsa,1.42,False
2019,1,2019-01,4522,Department stores,inv_sales_ratio,nsa,4.31,False
2019,2,2019-02,4522,Department stores,inv_sales_ratio,nsa,3.8,False
2019,3,2019-03,4522,Department stores,inv_sales_ratio,nsa,3.25,False
2019,4,2019-04,4522,Department stores,inv_sales_ratio,nsa,3.25,False
2019,5,2019-05,4522,Department stores,inv_sales_ratio,nsa,2.79,False
2019,6,2019-06,4522,Department stores,inv_sales_ratio,nsa,3.03,False
2019,7,2019-07,4522,Department stores,inv_sales_ratio,nsa,2.88,False
2019,8,2019-08,4522,Department stores,inv_sales_ratio,nsa,2.75,False
2019,9,2019-09,4522,Department stores,inv_sales_ratio,nsa,3.83,False
2019,10,2019-10,4522,Department stores,inv_sales_ratio,nsa,4.06,False
2019,11,2019-11,4522,Department stores,inv_sales_ratio,nsa,2.63,False
2019,12,2019-12,4522,Department stores,inv_sales_ratio,nsa,1.38,False
2020,1,2020-01,4522,Department stores,inv_sales_ratio,nsa,4.25,False
2020,2,2020-02,4522,Department stores,inv_sales_ratio,nsa,3.72,False
2020,3,2020-03,4522,Department stores,inv_sales_ratio,nsa,6.9,False
2020,4,2020-04,4522,Department stores,inv_sales_ratio,nsa,52.98,False
2020,5,2020-05,4522,Department stores,inv_sales_ratio,nsa,7.13,False
2020,6,2020-06,4522,Department stores,inv_sales_ratio,nsa,3.77,False
2020,7,2020-07,4522,Department stores,inv_sales_ratio,nsa,3.47,False
2020,8,2020-08,4522,Department stores,inv_sales_ratio,nsa,3.2,False
2020,9,2020-09,4522,Department stores,inv_sales_ratio,nsa,3.53,False
2020,10,2020-10,4522,Department stores,inv_sales_ratio,nsa,3.67,False
2020,11,2020-11,4522,Department stores,inv_sales_ratio,nsa,2.49,False
2020,12,2020-12,4522,Department stores,inv_sales_ratio,nsa,1.29,False
2021,1,2021-01,4522,Department stores,inv_sales_ratio,nsa,3.61,False
2021,2,2021-02,4522,Department stores,inv_sales_ratio,nsa,3.34,False
2021,3,2021-03,4522,Department stores,inv_sales_ratio,nsa,2.36,False
2021,4,2021-04,4522,Department stores,inv_sales_ratio,nsa,2.36,False
2021,5,2021-05,4522,Department stores,inv_sales_ratio,nsa,1.99,False
2021,6,2021-06,4522,Department stores,inv_sales_ratio,nsa,2.09,False
2021,7,2021-07,4522,Department stores,inv_sales_ratio,nsa,2.19,False
2021,8,2021-08,4522,Department stores,inv_sales_ratio,nsa,2.27,False
2021,9,2021-09,4522,Department stores,inv_sales_ratio,nsa,2.83,False
2021,10,2021-10,4522,Department stores,inv_sales_ratio,nsa,2.88,False
2021,11,2021-11,4522,Department stores,inv_sales_ratio,nsa,2.01,False
2021,12,2021-12,4522,Department stores,inv_sales_ratio,nsa,1.15,False
2022,1,2022-01,4522,Department stores,inv_sales_ratio,nsa,3.65,False
2022,2,2022-02,4522,Department stores,inv_sales_ratio,nsa,3.13,False
2022,3,2022-03,4522,Department stores,inv_sales_ratio,nsa,2.87,False
2022,4,2022-04,4522,Department stores,inv_sales_ratio,nsa,2.71,False
